t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
1.76 17 6 8 35 66 0.08060606 -0.04242424 0.00001316 0.01038585 2 2 0.02077171 0.02077171 4 0.04154341
1.78 17 4 9 37 67 0.08567164 -0.05223881 0.00002786 0.01104472 1 1 0.01104472 0.01104472 5 0.05522358
1.80 16 4 10 40 70 0.08400000 -0.06000000 0.00002346 0.00793918 3 3 0.02381753 0.02381753 5 0.03969588
1.82 14 4 7 37 62 0.09032258 -0.05870968 0.00003136 0.00645290 -8 8 -0.05162322 0.05162322 8 0.05162322
1.84 12 2 5 34 53 0.10301887 -0.06603774 0.00001193 0.01465934 -9 9 -0.13193403 0.13193403 9 0.13193403
1.86 12 1 5 31 49 0.10571429 -0.06571429 0.00001065 0.00271476 -4 4 -0.01085902 0.01085902 4 0.01085902
1.88 13 2 4 32 51 0.10705882 -0.05764706 0.00000369 0.00817850 2 2 0.01635701 0.01635701 4 0.03271402
1.90 13 1 5 32 51 0.10705882 -0.06313725 0.00001304 0.00549020 0 0 0.00000000 0.00000000 2 0.01098039
1.92 13 2 5 32 52 0.10230769 -0.05923077 0.00001610 0.00615092 1 1 0.00615092 0.00615092 1 0.00615092
1.94 13 3 6 34 56 0.09500000 -0.06000000 0.00001894 0.00734807 4 4 0.02939227 0.02939227 4 0.02939227
1.96 15 3 6 35 59 0.09728814 -0.05457627 0.00003907 0.00588663 3 3 0.01765989 0.01765989 3 0.01765989
1.98 14 1 6 37 58 0.10620690 -0.06758621 0.00006374 0.01577348 -1 1 -0.01577348 0.01577348 5 0.07886741
2.00 15 3 8 36 62 0.09032258 -0.05870968 0.00006355 0.01819627 4 4 0.07278508 0.07278508 6 0.10917762
2.02 13 2 4 34 53 0.10830189 -0.06075472 0.00001812 0.01809524 -9 9 -0.16285714 0.16285714 9 0.16285714
2.04 13 3 6 32 54 0.09333333 -0.05703704 0.00000048 0.01542332 1 1 0.01542332 0.01542332 5 0.07711659
2.06 14 3 7 33 57 0.09087719 -0.05649123 0.00000648 0.00251606 3 3 0.00754817 0.00754817 3 0.00754817
2.08 13 2 6 34 55 0.09927273 -0.06363636 0.00000890 0.01102443 -2 2 -0.02204885 0.02204885 4 0.04409770
2.10 14 2 7 36 59 0.09728814 -0.06406780 0.00000146 0.00203095 4 4 0.00812378 0.00812378 4 0.00812378
2.12 14 2 7 35 58 0.09655172 -0.06275862 0.00000138 0.00150208 -1 1 -0.00150208 0.00150208 1 0.00150208
2.14 14 3 7 34 58 0.09172414 -0.05793103 0.00000291 0.00682724 0 0 0.00000000 0.00000000 2 0.01365448
2.16 14 1 7 34 56 0.10000000 -0.06500000 0.00000296 0.01088394 -2 2 -0.02176788 0.02176788 2 0.02176788
2.18 13 2 6 36 57 0.10070175 -0.06631579 0.00000039 0.00149123 1 1 0.00149123 0.00149123 5 0.00745614
2.20 16 3 7 37 63 0.09555556 -0.05555556 0.00002651 0.01192753 6 6 0.07156519 0.07156519 6 0.07156519
2.22 14 1 6 35 56 0.10500000 -0.06500000 0.00003202 0.01335646 -7 7 -0.09349523 0.09349523 7 0.09349523
2.24 14 4 7 34 59 0.08779661 -0.05457627 0.00000784 0.02011494 3 3 0.06034481 0.06034481 5 0.10057469
2.26 14 3 7 32 56 0.09000000 -0.05500000 0.00000389 0.00224376 -3 3 -0.00673129 0.00673129 3 0.00673129
2.28 13 4 7 34 58 0.08689655 -0.05793103 0.00003212 0.00426876 2 2 0.00853753 0.00853753 4 0.01707506
2.30 13 2 7 37 59 0.09728814 -0.06881356 0.00005708 0.01504707 1 1 0.01504707 0.01504707 5 0.07523536
2.32 14 2 6 35 57 0.10070175 -0.06140351 0.00002515 0.00815853 -2 2 -0.01631706 0.01631706 4 0.03263413
2.34 15 4 4 34 57 0.10070175 -0.04666667 0.00007239 0.01473684 0 0 0.00000000 0.00000000 6 0.08842105
2.36 14 3 7 33 57 0.09087719 -0.05649123 0.00007239 0.01389403 0 0 0.00000000 0.00000000 6 0.08336417
2.38 15 3 6 33 57 0.09578947 -0.05157895 0.00004119 0.00694701 0 0 0.00000000 0.00000000 2 0.01389403
2.40 14 2 6 36 58 0.10137931 -0.06275862 0.00004119 0.01249925 1 1 0.01249925 0.01249925 5 0.06249627
2.42 14 2 6 36 58 0.10137931 -0.06275862 0.00004119 0.00000000 0 0 0.00000000 0.00000000 0 0.00000000
2.44 15 3 6 34 58 0.09655172 -0.05310345 0.00001186 0.01079481 0 0 0.00000000 0.00000000 4 0.04317924
2.46 14 3 6 34 57 0.09578947 -0.05649123 0.00001757 0.00347247 -1 1 -0.00347247 0.00347247 1 0.00347247
2.48 13 1 6 34 54 0.10370370 -0.06740741 0.00002064 0.01348325 -3 3 -0.04044975 0.04044975 3 0.04044975
2.50 14 2 7 35 58 0.09655172 -0.06275862 0.00000297 0.00853007 4 4 0.03412026 0.03412026 4 0.03412026
2.52 14 2 7 36 59 0.09728814 -0.06406780 0.00000181 0.00150208 1 1 0.00150208 0.00150208 1 0.00150208
2.54 14 3 6 34 57 0.09578947 -0.05649123 0.00000187 0.00772337 -2 2 -0.01544673 0.01544673 4 0.03089346
2.56 14 3 6 33 56 0.09500000 -0.05500000 0.00000395 0.00168731 -1 1 -0.00168731 0.00168731 1 0.00168731
2.58 13 2 7 34 56 0.09500000 -0.06500000 0.00001229 0.01000000 0 0 0.00000000 0.00000000 4 0.04000000
2.60 14 3 7 35 59 0.09254237 -0.05932203 0.00003453 0.00618702 3 3 0.01856106 0.01856106 3 0.01856106
2.62 14 2 5 35 56 0.10500000 -0.06000000 0.00004933 0.01247606 -3 3 -0.03742818 0.03742818 3 0.03742818
2.64 15 3 6 33 57 0.09578947 -0.05157895 0.00004637 0.01247990 1 1 0.01247990 0.01247990 5 0.06239950
2.66 14 3 7 34 58 0.09172414 -0.05793103 0.00001409 0.00754162 1 1 0.00754162 0.00754162 3 0.02262485
2.68 14 2 6 31 53 0.09773585 -0.05547170 0.00003547 0.00649531 -5 5 -0.03247653 0.03247653 5 0.03247653
2.70 12 2 7 34 55 0.09418182 -0.06872727 0.00010717 0.01372375 2 2 0.02744751 0.02744751 6 0.08234252
2.72 14 4 10 37 65 0.07969231 -0.06246154 0.00009362 0.01578624 10 10 0.15786239 0.15786239 10 0.15786239
2.74 15 6 8 36 65 0.07969231 -0.04953846 0.00017683 0.01292308 0 0 0.00000000 0.00000000 6 0.07753846
2.76 14 2 4 31 51 0.10705882 -0.05215686 0.00017231 0.02749149 -14 14 -0.38488091 0.38488091 14 0.38488091
2.78 13 0 4 32 49 0.11714286 -0.06571429 0.00000560 0.01689649 -2 2 -0.03379298 0.03379298 4 0.06758597
